names	vc	vc1-9	givenName	blockAm	colClust	congestion	pointAmVert	prtAllSizeN	quadBig	quadSmall	rosen	salObjNum	singleSizeDom	symmetry	whiteSpace
http___www.panini.it.png	0.287348486236649	5.51923056354206	7716222564.png	6	26	0.70358	30	9	0.054677	29.2943	6.3887	2	0.554	1.3445	0.28668
http___www.paoline.it.png	-0.669956092227975	4.10897066723353	786222564.png	9	13	0.70953	19	9	0.072479	16.379	3.3092	11	0.49519	2.5581	0.35933
http___www.paravia.it.png	0.394017556334517	5.67637084587187	9866222564.png	21	14	0.83191	43	11	0.04069	24.587	5.415	5	0.35434	3.7835	0.32324
http___www.pensiero.it.png	-0.0658476294864908	4.99891724974264	8986222564.png	15	14	0.91136	21	6	0.052134	25.074	5.0934	4	0.39859	2.859	0.37997
http___www.piccoli.it.png	0.173685611406482	5.35178730913999	2706222565.png	15	15	0.86894	28	10	0.049591	26.7105	5.823	4	0.15211	2.5865	0.56043
http___www.planetbook.it.png	-0.0120810701135552	5.07812383054449	2886222565.png	13	9	0.86385	29	8	0.053406	24.6646	5.5072	5	0.36205	3.6246	0.3058
http___www.polimata.it.png	-0.215924216534971	4.77783088198622	5306222565.png	17	11	0.75698	43	12	0.049591	19.5643	2.5972	5	0.23566	3.5517	0.40533
http___www.ponteallegrazie.it.png	-0.403018797158884	4.5022111995924	7296222565.png	18	10	0.78797	38	15	0.063578	16.4223	3.8319	3	0.21919	4.0642	0.49315
http___www.pragmaedizioni.it.png	-0.357433442634134	4.56936558158478	1886222566.png	9	8	0.91488	25	6	0.076294	21.5098	4.9032	5	0.37361	3.1686	0.30472
http___www.progettocultura.it.png	0.284032814939327	5.51434605931515	5256222566.png	5	17	0.90857	28	4	0.062307	28.8124	5.6988	7	0.80197	3.5421	0.1565
http___www.provadautore.it.png	-0.371041498392838	4.54931877962128	8726222566.png	20	11	0.8031	44	10	0.063578	15.021	2.5008	5	0.1969	2.4808	0.52024
http___www.pul.it.png	0.433467496233237	5.73448679914577	746222566.png	13	15	0.84127	37	10	0.036875	27.0042	6.0375	4	0.27502	3.1196	0.32984
http___www.qiqajon.it.png	-1.04822787893962	3.55171695435564	4426222566.png	9	6	0.90788	22	9	0.10681	13.4824	3.4742	4	0.26589	2.8466	0.51201
http___www.queriniana.it.png	0.226427531282629	5.4294844351424	7306222566.png	30	21	0.69783	47	11	0.045776	20.991	5.0667	2	0.1552	2.7268	0.37626
http___www.quiedit.it.png	-0.0770811758411882	4.98236847281862	4516222567.png	12	11	0.9139	26	10	0.053406	20.0996	4.793	8	0.33497	2.0065	0.42009
http___www.raffaellocortina.it.png	0.500140207455491	5.83270616728638	7576222567.png	14	9	0.69364	36	10	0.020345	31.1686	6.5105	7	0.37593	3.7604	0.30442
http___www.raffaelloeditrice.it.png	-0.533539667496051	4.30993347188842	8856222567.png	5	18	0.75318	16	4	0.08901	22.3834	4.3596	8	0.62905	2.0951	0.30043
http___www.rcslibri.it.png	-0.708715266321404	4.05187232040887	7836222567.png	9	11	0.72701	22	11	0.062307	16.3333	3.5416	5	0.4965	2.1904	0.3151
